"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"d[1,8]",3.16596212878455,0.209943604436055,2.74376583226435,3.16981711840864,3.57034831253758,1,4748
"d[1,9]",3.25585530761531,0.253428016978838,2.75801660713169,3.25677124526227,3.74244345311524,1,2298
"d[1,10]",4.74598029318839,0.252197097457696,4.22882147067943,4.75964354005467,5.22927444567983,1,5373
"d[1,11]",3.75706252604543,0.304013883846799,3.1837951818255,3.74946295572841,4.35686441548647,1,3352
"d[2,1]",12.4220190130485,0.941483073226245,10.5243223417646,12.4276179208556,14.2054896569955,1,3273
"d[2,2]",8.15313718993446,0.51367094751187,7.11919769049018,8.1449499662146,9.17835237495088,1,2045
"d[2,3]",9.13222217029258,0.640336477034646,7.90730543917674,9.14119883186117,10.3429855052955,1.01,631
"d[2,4]",11.8300175266432,0.679893456444419,10.4676948291007,11.8529911660005,13.1269984982535,1,3003
"d[2,5]",15.1532652275885,0.797017335522681,13.5595228682416,15.1702091660251,16.6944711916709,1,6148
"d[2,6]",13.3493812312068,0.747014562029841,11.8956863432729,13.3454038587246,14.8334505773675,1,2602
"d[2,7]",8.38127339493119,0.587776843824853,7.2004595703618,8.40120038159895,9.5360521677268,1,4652
"d[2,8]",7.09014187451354,0.552084604276079,5.97598362682144,7.09624694615682,8.14449407231184,1,3643
"d[2,9]",7.96066960159439,0.646852503019031,6.65786229411146,7.96242743180019,9.21885322262866,1,3786
"d[2,10]",10.1847942914871,0.626492236082609,8.96822681914606,10.1764168718745,11.3802387753943,1,2413
"d[2,11]",7.30442598207506,0.548149659208261,6.22176587182592,7.31260036476421,8.36764904874117,1.01,1116
"d[3,1]",38.7619789280255,3.69740564517367,31.4159700941993,38.7770557014856,45.9764669711952,1,4008
"d[3,2]",42.3271453701879,3.58377540961524,35.3803379106764,42.3710307973053,49.1933230142178,1,3551
"d[3,3]",46.3965014337286,2.59164206442384,41.1772213964579,46.372753203957,51.5915661643649,1,3220
"d[3,4]",37.9268651132734,2.40429923022224,33.0408901120022,37.9189375095168,42.5604610256082,1,3989
"d[3,5]",44.0005169505245,2.72480148899331,38.8849315701756,44.0391190567378,49.314727023472,1,803
"d[3,6]",45.6700126871721,2.75300866174115,39.8568724583622,45.7819267436831,50.8344444409208,1,2391
"d[3,7]",26.1491091867134,2.16016031378194,21.895068487793,26.1449752570827,30.2833887046358,1,1612
"d[3,8]",31.871173380204,4.76725068018777,22.253865476242,31.9349482005805,40.8099581890168,1,2020
"d[3,9]",32.5125874346899,2.76071477477413,27.1902280045008,32.5372641472864,37.8247304464962,1,1489
"d[3,10]",22.5976328524832,2.09802514764284,18.5615158059852,22.6253624734955,26.8063351950501,1,5463
"d[3,11]",48.8638053048264,2.96198880035152,43.1999441978601,48.9261932651025,54.4594559975639,1,1474
"d[4,1]",34.1748320059462,3.27946597645629,27.8748535414502,34.164529380008,40.4070859370154,1,1657
"d[4,2]",47.0146690791615,3.29522068841612,40.4347713857366,47.0221467236979,53.4421855995571,1,2732
"d[4,3]",74.0022352004955,4.17601577186778,65.7670833806285,73.9884626890429,82.2898419070189,1,4798
"d[4,4]",83.9652443304608,4.39997894341408,75.1957196681897,84.0424881298978,92.4581245747839,1,2313
"d[4,5]",77.6590097076546,4.23855762783189,69.0473561947949,77.7770163549991,85.7618882477576,1,5105
"d[4,6]",77.5110477243659,4.74840810811898,67.9522380066231,77.404951046926,86.9433608990158,1,3453
"d[4,7]",59.4289033931831,3.32611071579807,52.7634289376713,59.4682614059474,65.6498426813714,1,1508
"d[4,8]",76.7693177682808,3.2780916377603,70.1900212936817,76.8509765739001,83.0028108475702,1,3710
"d[4,9]",79.0285574219234,3.82495838241745,71.5143632700163,79.0205022164924,86.3654412951837,1,2662
"d[4,10]",43.9892566360587,3.12696023224039,37.7884296681374,44.0632908483493,49.9059712110999,1,2428
"d[4,11]",68.1606253399433,3.23682361923869,61.689723252465,68.2374368322236,74.3285480565185,1,4460
"d[5,1]",159.178848956679,7.25132958360114,146.037427306755,158.760421337721,174.70684670421,1,3943
"d[5,2]",182.251693848196,6.79386585927633,168.017215460596,182.546305189828,194.829700341847,1,4864
"d[5,3]",253.235516457876,21.2911559474855,223.281724007991,249.951733523921,303.627153409523,1,3934
"d[5,4]",253.863882672425,24.3024436251571,219.79199064203,249.697938491948,317.642448030709,1,2278
"d[5,5]",195.565562537746,9.17948386003988,175.737848494766,195.937023635504,211.856041655152,1.01,1257
"d[5,6]",275.310583984122,29.7691294357829,236.339394638319,270.33622055425,346.734450962771,1,4200
"d[5,7]",218.712279678589,10.0876254336535,201.655859901073,218.142204084214,241.221059926159,1,5519
"d[5,8]",172.881972111795,6.31900673404162,160.320005543159,172.780310412834,185.432644514359,1,4965
"d[5,9]",182.987086472447,6.78517258555861,169.540416820548,183.157593451801,196.282577680275,1,1567
"d[5,10]",194.016258480451,7.01866607587929,180.328735381763,193.754633159873,207.939896473871,1,4861
